task_id,activity_name,building,level,axis,discipline,activity_type,is_outdoor,planned_start,planned_finish,planned_duration_days,predecessor_count,is_critical_path,float_days,contractor_id,contractor_avg_delay_days,contract_type,season,material_delivery_status,crew_size,open_rfi_count,open_ncr_count,pending_submittal_count,actual_finish_date,delay_days,delay_category
ACT-00011,PT-ED Area Chemical Epoxy,A1,---,---,Process,Construction,0,2024-07-21,2024-08-15,25,6,0,5,Vendor_G,14.7,Time & Material,Summer,In Transit,12,1,1,0,2024-09-02,17.5,Severe
ACT-00012,Roofing,A1,---,---,Architectural,Construction,1,2024-04-09,2024-05-06,27,3,0,3,Vendor_D,4.6,Time & Material,Spring,Delivered,11,2,0,0,2024-05-15,8.6,Mild
ACT-00013,Geodetical Marks,A1,---,---,Other,Construction,0,2025-03-27,2025-04-08,12,4,1,0,Vendor_E,6.2,Unit Price,Spring,Ordered,8,0,1,1,2025-04-20,12.2,Moderate
ACT-00014,Temprorary Facade Openings,A1,---,---,Architectural,Construction,1,2024-01-26,2024-01-31,5,2,0,3,Vendor_B,1.8,Lump Sum,Winter,Not Ordered,20,2,1,0,2024-02-25,24.7,Severe
ACT-00015,Temprorary Weather Protection,A1,---,---,Other,Construction,1,2024-07-15,2024-07-23,8,1,0,1,Vendor_A,-0.8,Lump Sum,Summer,Ordered,16,2,1,0,2024-07-23,0.5,On Time
ACT-00016,Water and Sewege Installation Completed,A1,---,---,MEP,Installation,0,2024-05-25,2024-06-07,13,7,1,0,Vendor_A,0.3,Unit Price,Spring,Delivered,15,1,1,0,2024-06-10,2.6,On Time
ACT-00017,Sprinklers Installation Completed + Commissioning,A1,---,---,MEP,Installation,0,2024-03-24,2024-04-01,8,7,0,0,Vendor_D,4.8,Lump Sum,Spring,Delivered,9,2,0,1,2024-04-07,6.3,Mild
ACT-00018,"Ventilation : Ducts completed , Commissioning not done.",A1,---,---,MEP,Commissioning,0,2024-04-16,2024-04-30,14,12,1,0,Vendor_A,-3.4,Unit Price,Spring,In Transit,2,2,0,0,2024-05-08,7.6,Mild
ACT-00019,Final Power Connection,A1,---,---,Other,Construction,0,2024-10-07,2024-10-23,16,2,0,7,Vendor_F,12.5,Unit Price,Autumn,Delivered,15,0,0,0,2024-11-02,10.4,Mild
ACT-00020,Heating System Installation Completed,A1,---,---,MEP,Installation,0,2024-09-01,2024-09-19,18,3,0,8,Vendor_E,7.4,Unit Price,Autumn,Delivered,8,2,0,2,2024-09-26,7.2,Mild
ACT-00021,Temprorary Heating System Ready,A1,---,---,MEP,Construction,1,2024-10-20,2024-10-29,9,2,0,6,Vendor_B,0.5,Unit Price,Autumn,Delivered,9,0,2,1,2024-11-01,2.8,On Time
ACT-00022,Lighting,A1,---,---,MEP,Construction,0,2025-02-10,2025-03-19,37,1,0,6,Vendor_B,1.0,Lump Sum,Winter,Delivered,14,1,0,2,2025-03-21,2.0,On Time
ACT-00023,Lan Network Connection (Main Hall),A1,---,---,Other,Construction,0,2025-05-10,2025-06-08,29,1,0,2,Vendor_E,7.4,Lump Sum,Spring,Ordered,23,1,0,1,2025-06-20,11.7,Moderate
ACT-00024,Compressed Air and media network - Installation Completed + Commissioning not done. (Main Hall),A1,---,---,Other,Installation,0,2024-03-18,2024-03-27,9,7,0,8,Vendor_F,11.6,Lump Sum,Spring,Delivered,4,3,0,1,2024-04-07,11.3,Moderate
ACT-00025,Lightning Protection Completed,A1,---,---,Other,Construction,0,2024-02-28,2024-03-05,6,6,0,5,Vendor_F,11.2,Lump Sum,Winter,Delivered,7,0,0,2,2024-03-17,12.2,Moderate
ACT-00026,Fire Alarm System Installation Completed + Commissioning not done.,A1,---,---,MEP,Installation,0,2024-07-05,2024-07-13,8,2,0,3,Vendor_D,4.5,Lump Sum,Summer,In Transit,11,2,1,0,2024-07-17,4.1,On Time
ACT-00027,Building Permit Obtained by Client,A1,---,---,Other,Construction,0,2024-11-05,2024-11-18,13,1,0,2,Vendor_A,-2.4,Lump Sum,Autumn,In Transit,9,2,0,0,2024-11-18,0.3,On Time
ACT-00028,Completing Roof and Facade in Shuri Extension (Axis 33-35),A1,---,---,Architectural,Construction,1,2024-03-08,2024-03-13,5,1,0,14,Vendor_F,11.0,Lump Sum,Spring,Ordered,18,1,0,0,2024-03-29,15.8,Moderate
ACT-00029,Completing MEP Works (Main Hall) in Shuri Extension (Axis 33-35),A1,---,---,Other,Construction,0,2025-02-04,2025-02-11,7,3,0,5,Vendor_E,7.4,Unit Price,Winter,Delivered,19,2,0,0,2025-02-21,9.5,Mild
ACT-00030,Headbuilding Foundation Completed,A2,---,---,Civil,Construction,1,2024-11-10,2024-11-19,9,3,1,0,Vendor_F,11.7,Lump Sum,Autumn,Not Ordered,18,1,1,0,2024-12-14,25.4,Severe
ACT-00031,Headbuilding Roof and Façade Completed,A2,---,---,Architectural,Construction,1,2025-02-22,2025-03-06,12,3,0,7,Vendor_A,-0.2,Lump Sum,Winter,Delivered,10,0,1,3,2025-03-10,4.4,On Time
ACT-00032,Headbuilding MEP Installation Completed (excl. Commissioning),A2,---,---,Other,Installation,0,2024-07-26,2024-08-27,32,3,0,6,Vendor_E,7.3,Unit Price,Summer,Delivered,5,0,0,1,2024-09-06,10.2,Mild
ACT-00033,Hazmat (Axis 28-33) Foundation Completed,A3,---,---,Civil,Construction,1,2024-08-18,2024-08-21,3,1,0,2,Vendor_G,15.7,Lump Sum,Summer,Delivered,6,3,0,1,2024-09-09,19.3,Severe
ACT-00034,Hazmat (Axis 28-33) Roof and Façade Completed,A3,---,---,Architectural,Construction,1,2025-03-26,2025-04-05,10,6,0,15,Vendor_B,1.7,Unit Price,Spring,Delivered,24,2,0,1,2025-04-08,2.8,On Time
ACT-00035,Hazmat (Axis 28-33) MEP Completed (excl. Commissioning),A3,---,---,Other,Commissioning,0,2024-06-07,2024-06-25,18,6,1,0,Vendor_E,8.2,Time & Material,Summer,Delivered,3,0,0,2,2024-07-08,13.1,Moderate
ACT-00036,PT/ED Design Instruction,A1,U00,---,Design,Design,1,2024-08-07,2024-09-18,42,1,0,9,Vendor_B,-0.1,Lump Sum,Summer,Not Ordered,2,1,0,2,2024-09-23,4.6,On Time
ACT-00037,PT/ED Official Instruction,A1,U00,---,Other,Construction,1,2024-01-22,2024-02-01,10,4,0,4,Vendor_B,-1.1,Lump Sum,Winter,Delivered,18,0,0,2,2024-01-31,-1.3,On Time
ACT-00038,PT/ED Instruction - Synergy Review,A1,U00,---,Design,Design,1,2024-11-09,2024-11-24,15,2,0,11,Vendor_C,3.8,Unit Price,Autumn,Not Ordered,1,1,1,0,2024-12-09,14.6,Moderate
ACT-00039,Mainhall/PIT and Pipeline additions Instruction,A1,U00,---,Other,Construction,1,2025-04-18,2025-04-30,12,5,0,2,Vendor_F,11.8,Time & Material,Spring,Delivered,12,1,1,1,2025-05-14,13.8,Moderate
ACT-00040,Mainhall/PIT and Pipeline additions Instruction - Synergy Review,A1,U00,---,Design,Design,1,2024-01-30,2024-02-06,7,3,0,8,Vendor_A,-0.1,Lump Sum,Winter,Not Ordered,1,4,1,0,2024-02-23,17.4,Severe
ACT-00041,Receiving Technology Drawings from Mercedes Technology Subcontractors - Zone A (baseline date : 14-02-2025),A1,---,A,Other,Construction,0,2024-12-11,2024-12-15,4,4,0,8,Vendor_G,14.9,Lump Sum,Winter,Ordered,10,1,0,2,2025-01-05,20.7,Severe
ACT-00042,Receiving Technology Drawings from Mercedes Technology Subcontractors - Zone B (baseline date : 14-02-2025),A1,---,B,Other,Construction,0,2025-04-15,2025-05-04,19,5,1,0,Vendor_E,8.3,Time & Material,Spring,Delivered,11,3,0,2,2025-05-18,13.6,Moderate
ACT-00043,Receiving Technology Drawings from Mercedes Technology Subcontractors - Zone C (baseline date : 14-02-2025),A1,---,C,Other,Construction,0,2024-10-07,2024-10-15,8,6,0,10,Vendor_B,-0.5,Lump Sum,Autumn,Delivered,21,1,1,0,2024-10-17,2.5,On Time
ACT-00044,Receiving Technology Drawings from Mercedes Technology Subcontractors - Zone D (baseline date : 14-02-2025),A1,---,D,Other,Construction,0,2024-07-02,2024-07-17,15,2,0,9,Vendor_B,1.6,Lump Sum,Summer,Not Ordered,10,3,0,2,2024-07-25,7.6,Mild
ACT-00045,Receiving Technology Drawings from Mercedes Technology Subcontractors - Zone E (baseline date : 14-02-2025),A1,---,E,Other,Construction,0,2025-07-06,2025-07-26,20,5,0,1,Vendor_C,1.9,Lump Sum,Summer,Delivered,8,1,1,1,2025-07-30,4.0,On Time
ACT-00046,Geotechnical (Subgrade Layers) Execution Design Preparation,A1,U00,B,Design,Design,1,2024-02-19,2024-03-20,30,1,0,0,Vendor_F,9.7,Lump Sum,Winter,Delivered,3,2,1,1,2024-04-12,22.6,Severe
ACT-00047,"Piling Works Execution Design Preparation by GD (Zone A,B,C)",A1,U00,---,Design,Design,1,2024-05-07,2024-05-22,15,3,0,3,Vendor_A,-0.8,Unit Price,Spring,Not Ordered,3,1,1,0,2024-06-05,13.7,Moderate
ACT-00048,"Piling Works Execution Design Preparation by GD (Zone D,E)",A1,U00,---,Design,Design,1,2025-05-07,2025-05-12,5,0,0,4,Vendor_D,5.0,Unit Price,Spring,Delivered,2,3,0,0,2025-05-17,4.6,On Time
ACT-00049,Rc Works Foundation - Execution Design - Pre-Study,A1,U00,---,Civil,Design,1,2024-06-23,2024-07-11,18,3,0,7,Vendor_A,-0.4,Time & Material,Summer,Delivered,2,2,0,0,2024-07-12,1.0,On Time
ACT-00050,Rc Works - Footings & Foundation Beams Execution Design - Pre-Study,A1,U00,---,Civil,Design,1,2025-04-01,2025-04-09,8,3,0,4,Vendor_A,-0.9,Lump Sum,Spring,In Transit,3,1,0,1,2025-04-13,4.0,On Time
ACT-00051,RC Topping Concrete +10.00 - Rc Works - Pre-Study,A1,L01,---,Civil,Design,0,2024-07-12,2024-07-14,2,0,0,14,Vendor_E,5.5,Unit Price,Summer,Delivered,2,3,0,0,2024-07-21,6.7,Mild
ACT-00052,RC Topping Concrete +18.00 - Rc Works - Pre-Study and Modelling,A1,L03,---,Civil,Design,0,2025-03-28,2025-04-13,16,2,1,0,Vendor_B,2.0,Lump Sum,Spring,Delivered,3,0,0,0,2025-04-18,4.7,On Time
ACT-00053,SOG Design - Pre-Study,A1,U00,---,Civil,Design,1,2025-01-19,2025-01-29,10,0,0,11,Vendor_A,-0.4,Time & Material,Winter,Delivered,3,1,0,0,2025-02-01,2.8,On Time
ACT-00054,"Precast Columns Execution Design - Pre Study, Modelling and Calculations",A1,---,---,Civil,Design,0,2024-09-24,2024-09-27,3,0,1,0,Vendor_A,-0.9,Lump Sum,Autumn,Delivered,2,3,1,1,2024-09-29,2.4,On Time
ACT-00055,"Precast Main Beams Execution Design - Pre Study, Modelling and Calculations",A1,L01,---,Civil,Design,0,2024-10-23,2024-11-06,14,2,1,0,Vendor_B,1.8,Unit Price,Autumn,In Transit,2,3,0,1,2024-11-13,6.6,Mild
ACT-00056,"Precast Secondary Beams Execution Design - Pre Study, Modelling and Calculations",A1,L01,---,Civil,Design,0,2024-04-19,2024-04-20,1,2,1,0,Vendor_E,6.2,Unit Price,Spring,Delivered,1,1,0,1,2024-04-27,6.8,Mild
ACT-00057,"Precast Slabs Execution Design Preparation - Pre Study, Modelling and Calculations",A1,---,---,Civil,Design,0,2024-03-17,2024-03-25,8,3,1,0,Vendor_D,4.1,Unit Price,Spring,Delivered,2,2,1,1,2024-04-04,10.1,Mild
ACT-00058,"Composite Steel Slab Execution Design - Pre Study, Modelling and Calculations",A1,L03,---,Civil,Design,0,2025-02-05,2025-02-14,9,2,0,5,Vendor_E,8.5,Time & Material,Winter,Ordered,1,1,0,0,2025-03-01,14.9,Moderate
ACT-00059,"Ground Beams, Footings, Footing Beams, Foundation Beams - Pre Study, Modelling and Calculations",A1,L00,---,Civil,Construction,1,2025-04-17,2025-04-28,11,3,0,16,Vendor_C,4.2,Unit Price,Spring,Ordered,17,3,1,1,2025-05-09,11.0,Mild
ACT-00060,"Precast Walls - Pre Study, Modelling and Calculations",A1,---,---,Civil,Construction,0,2025-02-07,2025-02-12,5,4,1,0,Vendor_A,-1.5,Unit Price,Winter,Delivered,23,0,0,0,2025-02-13,1.3,On Time
ACT-00061,Roof Steel Execution Design Preparation - Pre-Study and Modelling,A1,L04,---,Architectural,Design,1,2025-05-21,2025-06-14,24,3,0,18,Vendor_F,9.2,Unit Price,Spring,Delivered,2,2,1,2,2025-07-02,17.6,Severe
ACT-00062,Façade Steel Execution Design Preparation - Pre-Study and Modelling,A1,---,---,Architectural,Design,1,2025-05-09,2025-05-15,6,3,1,0,Vendor_A,-0.3,Lump Sum,Spring,In Transit,3,2,1,3,2025-05-21,6.5,Mild
ACT-00063,Geotechnical (Subgrade Layers) Execution Design Delivery and Submission,A1,U00,---,Design,Design,1,2025-03-10,2025-03-17,7,3,0,13,Vendor_C,3.4,Lump Sum,Spring,Delivered,2,2,0,1,2025-03-13,-3.6,On Time
ACT-00064,(Subgrade Layers) Execution Design Approval,A1,U00,---,Design,Design,1,2025-05-13,2025-05-20,7,0,0,17,Vendor_B,-1.3,Lump Sum,Spring,In Transit,2,2,0,1,2025-05-16,-3.6,On Time
ACT-00065,Piling Works Execution Design Delivery and Submission,A1,U00,B,Design,Design,1,2024-04-14,2024-05-05,21,3,1,0,Vendor_B,0.4,Unit Price,Spring,Delivered,2,2,0,1,2024-05-10,4.6,On Time
ACT-00066,Piling Works Design Approval by Client,A1,U00,B,Design,Design,1,2025-02-12,2025-03-03,19,0,0,5,Vendor_D,5.6,Lump Sum,Winter,Delivered,1,1,0,1,2025-03-08,5.3,Mild
ACT-00067,Piling Works Execution Design Delivery and Submission,A1,U00,A,Design,Design,1,2025-02-24,2025-03-26,30,3,0,2,Vendor_A,0.5,Unit Price,Winter,Not Ordered,2,0,0,2,2025-04-04,9.4,Mild
ACT-00068,Piling Works Design Approval by Client,A1,U00,A,Design,Design,1,2024-04-07,2024-05-07,30,0,1,0,Vendor_C,0.4,Lump Sum,Spring,Delivered,1,0,0,1,2024-05-08,1.4,On Time
ACT-00069,Piling Works Execution Design Delivery and Submission,A1,U00,C,Design,Design,1,2025-05-20,2025-05-31,11,0,0,40,Vendor_D,4.2,Unit Price,Spring,Delivered,1,1,1,2,2025-05-28,-2.9,On Time
ACT-00070,Piling Works Design Approval by Client,A1,U00,C,Design,Design,1,2024-01-19,2024-01-26,7,0,0,7,Vendor_F,10.5,Lump Sum,Winter,Ordered,1,1,0,1,2024-02-13,18.2,Severe
ACT-00071,Piling Works Execution Design Delivery and Submission,A1,U00,D,Design,Design,1,2024-09-05,2024-09-23,18,0,0,5,Vendor_C,1.0,Lump Sum,Autumn,Ordered,1,1,0,0,2024-09-25,2.4,On Time
ACT-00072,Piling Works Design Approval by Client,A1,U00,D,Design,Design,1,2024-01-26,2024-02-05,10,2,1,0,Vendor_B,0.7,Lump Sum,Winter,In Transit,3,1,0,3,2024-02-12,7.2,Mild
ACT-00073,Piling Works Execution Design Delivery and Submission,A1,U00,E,Design,Design,1,2024-10-23,2024-10-30,7,0,0,6,Vendor_C,2.3,Time & Material,Autumn,Delivered,3,2,0,0,2024-11-01,2.2,On Time
ACT-00074,Piling Works Design Approval by Client,A1,U00,E,Design,Design,1,2024-08-24,2024-09-22,29,2,1,0,Vendor_C,3.8,Lump Sum,Summer,In Transit,3,0,0,1,2024-09-28,6.4,Mild
ACT-00075,Pilecaps Execution Design Delivery and Submission,A1,U00,B,Design,Design,1,2024-12-16,2024-12-28,12,2,0,2,Vendor_B,-1.9,Lump Sum,Winter,Delivered,3,0,0,1,2024-12-28,-0.5,On Time
ACT-00076,Pilecaps Execution Design Approval,A1,U00,B,Design,Design,1,2025-03-03,2025-03-11,8,0,1,0,Vendor_B,1.0,Time & Material,Spring,Delivered,1,4,1,0,2025-03-13,1.6,On Time
ACT-00077,Pilecaps Execution Design Delivery and Submission,A1,U00,A,Design,Design,1,2025-03-05,2025-03-16,11,3,0,8,Vendor_C,1.2,Lump Sum,Spring,Delivered,2,1,0,0,2025-03-18,2.4,On Time
ACT-00078,Pilecaps Execution Design Approval,A1,U00,A,Design,Design,1,2025-02-07,2025-02-18,11,2,0,8,Vendor_E,6.3,Unit Price,Winter,Delivered,3,3,0,0,2025-02-26,8.3,Mild
ACT-00079,Pilecaps Execution Design Delivery and Submission,A1,U00,C,Design,Design,1,2024-03-10,2024-03-26,16,0,0,11,Vendor_B,0.2,Time & Material,Spring,Ordered,3,0,1,1,2024-03-26,0.0,On Time
ACT-00080,Energy Center Interface (A/15-23) Foundations| Execution Design Delivery and Submission,A1,U00,C,Civil,Design,1,2024-08-27,2024-09-09,13,1,1,0,Vendor_F,11.3,Unit Price,Summer,Delivered,1,0,0,0,2024-09-22,12.6,Moderate
ACT-00081,Pilecaps Execution Design Approval,A1,U00,C,Design,Design,1,2025-03-30,2025-04-15,16,2,0,24,Vendor_B,-0.1,Unit Price,Spring,Ordered,1,3,0,0,2025-04-16,0.9,On Time
ACT-00082,Pilecaps Execution Design Delivery and Submission,A1,U00,D,Design,Design,1,2025-01-02,2025-01-12,10,3,0,5,Vendor_D,4.2,Lump Sum,Winter,Delivered,2,1,0,2,2025-01-17,4.9,On Time
ACT-00083,Pilecaps Execution Design Approval,A1,U00,D,Design,Design,1,2025-01-16,2025-02-07,22,1,0,1,Vendor_G,16.0,Unit Price,Winter,Delivered,3,2,0,3,2025-03-03,24.3,Severe
ACT-00084,Pilecaps Execution Design Delivery and Submission,A1,U00,E,Design,Design,1,2024-05-16,2024-06-20,35,2,0,4,Vendor_G,16.4,Time & Material,Spring,Delivered,3,2,1,1,2024-07-07,17.0,Moderate
ACT-00085,Pilecaps Execution Design Approval,A1,U00,E,Design,Design,1,2024-07-08,2024-07-24,16,0,0,8,Vendor_C,3.1,Time & Material,Summer,Delivered,2,1,0,2,2024-07-23,-0.7,On Time
ACT-00086,Footings & Foundation Beams - RC Works Execution Design Delivery and Submission,A1,U00,B,Civil,Design,1,2025-06-14,2025-06-28,14,0,0,12,Vendor_A,-1.2,Unit Price,Summer,Delivered,3,1,1,0,2025-06-25,-2.9,On Time
ACT-00087,Footings & Foundation Beams - RC Works Execution Design Approval,A1,U00,B,Civil,Design,1,2025-04-16,2025-05-15,29,0,0,1,Vendor_F,11.1,Lump Sum,Spring,Ordered,2,1,1,1,2025-06-06,22.0,Severe
ACT-00088,Footings & Foundation Beams - RC Works Execution Design Delivery and Submission,A1,U00,A,Civil,Design,1,2024-04-13,2024-04-17,4,0,1,0,Vendor_A,-1.0,Time & Material,Spring,Delivered,3,0,0,0,2024-04-18,1.1,On Time
ACT-00089,Footings & Foundation Beams - RC Works Execution Design Approval,A1,U00,A,Civil,Design,1,2024-11-04,2024-11-06,2,3,1,0,Vendor_G,17.7,Lump Sum,Autumn,Delivered,3,0,0,1,2024-11-28,21.9,Severe
ACT-00090,Footings & Foundation Beams - RC Works Execution Design Delivery and Submission,A1,U00,C,Civil,Design,1,2024-10-05,2024-10-19,14,3,1,0,Vendor_E,8.0,Lump Sum,Autumn,In Transit,3,1,0,0,2024-11-03,14.8,Moderate
ACT-00091,Footings & Foundation Beams - RC Works Execution Design Approval,A1,U00,C,Civil,Design,1,2024-09-10,2024-10-23,43,2,0,2,Vendor_G,16.4,Lump Sum,Autumn,Delivered,1,0,1,0,2024-11-16,23.9,Severe
ACT-00092,Footings & Foundation Beams - RC Works Execution Design Delivery and Submission,A1,U00,D,Civil,Design,1,2024-09-25,2024-10-12,17,0,0,0,Vendor_D,4.5,Lump Sum,Autumn,Ordered,2,1,1,1,2024-10-20,8.1,Mild
ACT-00093,Footings & Foundation Beams - RC Works Execution Design Approval,A1,U00,D,Civil,Design,1,2024-12-27,2025-01-07,11,1,0,3,Vendor_G,16.0,Unit Price,Winter,Delivered,3,1,1,0,2025-01-30,22.8,Severe
ACT-00094,Footings & Foundation Beams - RC Works Execution Design Delivery and Submission,A1,U00,E,Civil,Design,1,2025-06-20,2025-07-19,29,2,0,1,Vendor_C,0.1,Lump Sum,Summer,Delivered,2,1,2,0,2025-07-21,2.1,On Time
ACT-00095,Footings & Foundation Beams - RC Works Execution Design Approval,A1,U00,E,Civil,Design,1,2025-05-01,2025-06-04,34,1,0,6,Vendor_B,0.1,Lump Sum,Spring,Delivered,3,1,2,2,2025-06-10,6.1,Mild
ACT-00096,Stairs on Axis A 23-24 Design Submission,A1,U00,D,Design,Design,1,2025-05-01,2025-05-19,18,0,0,15,Vendor_C,2.5,Lump Sum,Spring,Delivered,2,1,1,0,2025-05-20,1.4,On Time
ACT-00097,Stairs on Axis A 23-24 Design Approval,A1,U00,D,Design,Design,1,2025-01-28,2025-02-19,22,0,0,14,Vendor_B,0.5,Lump Sum,Winter,Delivered,3,1,0,1,2025-02-24,4.8,On Time
ACT-00098,Stairs on Axis A 10-11 Design Submission,A1,U00,B,Design,Design,1,2024-01-24,2024-02-07,14,0,0,2,Vendor_C,1.8,Unit Price,Winter,Delivered,2,1,0,2,2024-02-11,3.7,On Time
ACT-00099,Stairs on Axis A 10-11 Design Approval,A1,U00,B,Design,Design,1,2024-09-08,2024-09-14,6,2,1,0,Vendor_F,12.4,Unit Price,Autumn,Delivered,3,3,0,0,2024-09-24,10.3,Mild
ACT-00100,Cargo Lift - Rc Works - Foundation - Design Delivery and Submission,A1,U00,B,Civil,Design,1,2024-10-17,2024-10-29,12,1,0,2,Vendor_D,4.9,Unit Price,Autumn,Delivered,1,1,0,1,2024-11-01,2.9,On Time
ACT-00101,Cargo Lift - Rc Works -Foundation- Design Approval,A1,U00,B,Civil,Design,1,2025-04-13,2025-05-16,33,0,0,7,Vendor_E,6.3,Unit Price,Spring,Delivered,3,1,0,0,2025-05-24,7.6,Mild
ACT-00102,Foundation Slabs - Stairs - Axis H02 -Design Submission,A1,U00,A,Civil,Design,1,2025-05-27,2025-05-28,1,0,0,4,Vendor_B,-1.1,Lump Sum,Spring,In Transit,2,2,1,0,2025-05-26,-1.5,On Time
ACT-00103,Foundation Slabs - Stairs - Axis H02 -Design Approval,A1,U00,A,Civil,Design,1,2024-09-14,2024-09-17,3,0,1,0,Vendor_G,16.9,Unit Price,Autumn,In Transit,1,0,0,2,2024-10-07,19.9,Severe
ACT-00104,Foundation Slabs - Stairs - Axis H30 -Design Submission,A1,U00,E,Civil,Design,1,2024-06-25,2024-07-04,9,2,0,16,Vendor_B,-0.4,Unit Price,Summer,Delivered,3,1,0,2,2024-07-03,-1.1,On Time
ACT-00105,Foundation Slabs - Stairs - Axis H30-Design Approval,A1,U00,E,Civil,Design,1,2024-07-15,2024-07-31,16,2,0,10,Vendor_A,-0.7,Lump Sum,Summer,Delivered,3,2,0,1,2024-07-28,-3.1,On Time
ACT-00106,RC Topping Concrete +10.00 - RC Works - Execution Design Delivery and Submission,A1,L01,B,Civil,Design,0,2024-11-22,2024-11-28,6,0,0,2,Vendor_E,8.3,Lump Sum,Autumn,In Transit,1,2,1,0,2024-12-10,12.1,Moderate
ACT-00107,RC Topping Concrete +10.00 - RC Works - Execution Design Approval,A1,L01,B,Civil,Design,0,2024-06-11,2024-06-18,7,1,0,7,Vendor_F,11.3,Lump Sum,Summer,In Transit,1,0,1,0,2024-07-08,20.1,Severe
ACT-00108,RC Topping Concrete +10.00 - RC Works - Execution Design Delivery and Submission,A1,L01,A,Civil,Design,0,2025-05-20,2025-06-07,18,0,0,3,Vendor_C,3.6,Lump Sum,Spring,In Transit,1,2,1,0,2025-06-13,6.5,Mild
ACT-00109,RC Topping Concrete +10.00 - RC Works - Execution Design Approval,A1,L01,A,Civil,Design,0,2024-08-28,2024-09-09,12,2,0,1,Vendor_D,4.3,Lump Sum,Summer,Delivered,3,2,0,0,2024-09-14,5.3,Mild
ACT-00110,RC Topping Concrete +10.00 - RC Works - Execution Design Delivery and Submission,A1,L01,C,Civil,Design,0,2025-07-02,2025-07-09,7,0,1,0,Vendor_C,2.3,Lump Sum,Summer,Ordered,3,2,1,0,2025-07-13,3.8,On Time
ACT-00111,RC Topping Concrete +10.00 - RC Works - Execution Design Approval,A1,L01,C,Civil,Design,0,2024-03-14,2024-03-24,10,3,0,10,Vendor_B,0.1,Lump Sum,Spring,Delivered,1,1,0,1,2024-03-25,1.2,On Time
ACT-00112,RC Topping Concrete +10.00 - RC Works - Execution Design Delivery and Submission,A1,L01,D,Civil,Design,0,2024-04-25,2024-05-14,19,1,0,6,Vendor_F,10.7,Lump Sum,Spring,Delivered,3,1,1,1,2024-05-31,16.7,Moderate
ACT-00113,RC Topping Concrete +10.00 - RC Works - Execution Design Approval,A1,L01,D,Civil,Design,0,2024-10-17,2024-10-24,7,3,0,33,Vendor_E,8.3,Lump Sum,Autumn,Delivered,3,0,0,0,2024-11-03,10.1,Mild
ACT-00114,RC Topping Concrete +10.00 - RC Works - Execution Design Delivery and Submission,A1,L01,E,Civil,Design,0,2025-04-27,2025-05-23,26,2,0,10,Vendor_C,2.9,Lump Sum,Spring,Not Ordered,1,0,0,0,2025-05-29,5.8,Mild
ACT-00115,RC Topping Concrete +10.00 - RC Works - Execution Design Approval,A1,L01,E,Civil,Design,0,2024-07-24,2024-07-31,7,3,0,14,Vendor_C,0.4,Unit Price,Summer,Delivered,2,0,0,1,2024-07-26,-5.4,On Time
